Order ID,Client ID,Instrument,Side,Execution Status,Quantity,Price,Reason,Transaction Time
ord1,aa13,Rose,2,New,100,75.00,,20260423-103822.729
ord2,aa14,Rose,2,New,100,65.00,,20260423-103822.730
ord3,aa15,Rose,2,New,100,55.00,,20260423-103822.730
ord4,aa16,Rose,2,New,100,55.00,,20260423-103822.730
ord5,aa17,Rose,2,New,100,55.00,,20260423-103822.730
ord6,aa18,Rose,2,New,100,55.00,,20260423-103822.730
ord7,aa19,Rose,1,Fill,100,55.00,,20260423-103822.730
ord3,aa15,Rose,2,Fill,100,55.00,,20260423-103822.730
ord8,aa20,Rose,1,Pfill,100,55.00,,20260423-103822.730
ord4,aa16,Rose,2,Fill,100,55.00,,20260423-103822.730
ord8,aa20,Rose,1,Fill,100,55.00,,20260423-103822.730
ord5,aa17,Rose,2,Fill,100,55.00,,20260423-103822.730
ord9,aa21,Rose,1,Pfill,100,55.00,,20260423-103822.730
ord6,aa18,Rose,2,Fill,100,55.00,,20260423-103822.730
ord9,aa21,Rose,1,Pfill,100,65.00,,20260423-103822.730
ord2,aa14,Rose,2,Fill,100,65.00,,20260423-103822.730
ord9,aa21,Rose,1,Fill,100,75.00,,20260423-103822.730
ord1,aa13,Rose,2,Fill,100,75.00,,20260423-103822.730
