Client Order ID,Instrument,Side,Quantity,Price
1,Tulip,2,930,36.89
2,Rose,1,270,38.82
3,Lavender,2,890,17.45
4,Orchid,1,790,33.77
5,Rose,1,580,42.95
6,Tulip,2,820,16.67
7,Tulip,1,140,33.60
8,Lavender,2,170,46.83
9,Lavender,1,240,49.51
10,Tulip,1,300,25.52
11,Rose,2,330,36.88
12,Tulip,2,10,25.86
13,Orchid,2,590,31.53
14,Tulip,1,200,14.23
15,Tulip,2,780,16.14
16,Rose,1,740,43.65
17,Lotus,1,40,39.56
18,Tulip,1,660,45.59
19,Rose,2,910,24.99
20,Orchid,1,90,47.77
21,Orchid,1,60,35.61
22,Tulip,1,130,27.71
23,Lotus,1,820,44.01
24,Lavender,1,440,36.15
25,Lotus,2,790,27.56
26,Rose,1,500,32.21
27,Tulip,1,660,40.36
28,Lotus,1,760,15.93
29,Lavender,1,640,28.08
30,Lotus,2,730,45.84
31,Orchid,1,970,48.24
32,Orchid,2,190,45.28
33,Tulip,1,1000,25.04
34,Rose,2,890,21.09
35,Orchid,2,170,22.72
36,Rose,2,70,18.18
37,Rose,2,920,46.90
38,Rose,1,960,43.83
39,Tulip,2,840,44.92
40,Orchid,1,780,13.37
41,Rose,1,860,11.67
42,Lotus,1,10,39.24
43,Rose,2,590,13.29
44,Lavender,1,470,38.46
45,Lavender,2,220,40.30
46,Tulip,1,960,12.58
47,Lotus,1,880,19.61
48,Rose,2,810,35.67
49,Lavender,1,360,14.49
50,Orchid,1,510,15.81
51,Rose,2,560,28.78
52,Orchid,1,190,13.76
53,Orchid,1,730,24.86
54,Lotus,2,940,41.83
55,Tulip,2,350,29.82
56,Lavender,1,250,37.96
57,Tulip,1,560,25.59
58,Tulip,2,380,41.00
59,Lavender,2,420,29.44
60,Rose,2,270,12.06
61,Lavender,1,760,17.45
62,Rose,2,680,46.31
63,Lotus,2,110,29.85
64,Orchid,1,880,26.51
65,Lavender,2,460,28.37
66,Tulip,2,650,23.11
67,Lotus,2,980,43.30
68,Lavender,1,210,13.71
69,Orchid,2,50,40.52
70,Orchid,2,500,42.02
71,Rose,1,590,45.04
72,Rose,1,630,13.37
73,Lavender,2,410,24.12
74,Orchid,2,400,29.65
75,Orchid,1,860,39.37
76,Rose,1,410,22.71
77,Tulip,2,70,19.62
78,Lotus,2,60,15.88
79,Lavender,2,730,42.11
80,Rose,2,570,37.93
81,Tulip,2,110,48.49
82,Tulip,1,500,41.23
83,Rose,1,890,31.43
84,Lotus,1,400,18.44
85,Rose,2,80,37.83
86,Tulip,1,790,21.04
87,Rose,1,130,34.40
88,Tulip,1,860,31.36
89,Rose,1,210,17.60
90,Tulip,2,810,10.51
91,Lotus,1,180,33.44
92,Lotus,1,630,42.49
93,Tulip,2,910,41.40
94,Rose,1,310,36.17
95,Orchid,1,120,30.00
96,Tulip,1,70,18.21
97,Orchid,2,110,17.89
98,Orchid,1,720,20.55
99,Rose,1,130,21.22
100,Lotus,1,440,22.93
101,Lavender,2,350,30.23
102,Tulip,2,180,35.22
103,Rose,2,360,43.43
104,Lotus,2,220,24.57
105,Tulip,1,890,12.02
106,Lotus,1,610,15.28
107,Orchid,2,50,30.74
108,Rose,1,430,36.68
109,Tulip,1,870,22.86
110,Orchid,1,360,46.69
111,Tulip,1,130,25.89
112,Lavender,1,210,26.57
113,Tulip,2,460,45.25
114,Lotus,2,370,23.98
115,Orchid,2,540,24.05
116,Lavender,2,70,16.26
117,Lotus,2,40,45.50
118,Lavender,2,570,39.64
119,Rose,1,270,15.34
120,Lavender,1,300,31.38
121,Lotus,2,40,27.91
122,Rose,2,550,26.85
123,Tulip,2,850,21.08
124,Lotus,1,480,10.94
125,Rose,1,740,46.86
126,Lotus,2,220,13.38
127,Lavender,2,870,38.14
128,Lotus,2,250,49.10
129,Tulip,1,860,16.96
130,Lotus,1,460,37.31
131,Orchid,2,90,25.17
132,Rose,2,920,20.80
133,Lotus,2,90,40.78
134,Lotus,1,890,30.30
135,Rose,1,330,49.20
136,Tulip,2,280,11.77
137,Tulip,1,370,16.90
138,Orchid,1,380,35.41
139,Lavender,2,690,38.87
140,Orchid,1,940,13.52
141,Lotus,2,820,48.36
142,Lavender,1,150,46.05
143,Lotus,1,540,19.19
144,Lavender,1,330,35.65
145,Lavender,2,600,17.11
146,Rose,2,170,19.98
147,Orchid,1,700,49.63
148,Lavender,2,440,12.86
149,Orchid,2,1000,12.52
150,Lavender,1,850,43.37
151,Tulip,2,890,32.97
152,Lotus,2,780,44.59
153,Tulip,1,30,16.88
154,Lavender,2,410,40.00
155,Tulip,1,490,44.68
156,Orchid,1,830,28.02
157,Lavender,1,150,44.68
158,Tulip,1,720,39.56
159,Tulip,1,840,42.54
160,Lotus,2,10,46.91
161,Rose,1,290,36.79
162,Orchid,2,470,34.07
163,Lavender,2,430,49.03
164,Rose,2,450,12.96
165,Rose,2,380,48.73
166,Orchid,2,170,45.99
167,Lotus,1,500,11.22
168,Orchid,1,170,41.81
169,Rose,2,970,35.27
170,Rose,2,840,37.28
171,Tulip,1,470,41.53
172,Lotus,1,510,38.92
173,Lotus,2,430,11.35
174,Tulip,2,430,30.39
175,Lavender,2,930,28.20
176,Lotus,2,70,36.05
177,Lavender,1,720,31.24
178,Orchid,1,750,38.33
179,Lotus,1,270,46.87
180,Tulip,2,470,24.97
181,Lotus,2,190,16.77
182,Orchid,2,230,45.13
183,Lotus,1,340,19.96
184,Lotus,2,80,29.00
185,Lotus,1,530,41.21
186,Rose,2,680,44.49
187,Orchid,2,810,22.59
188,Lotus,1,90,22.82
189,Lotus,1,670,43.80
190,Orchid,2,400,43.44
191,Lotus,2,120,34.61
192,Tulip,1,650,35.11
193,Orchid,1,410,35.10
194,Orchid,2,870,27.90
195,Lavender,1,90,26.53
196,Tulip,2,760,42.17
197,Lotus,2,570,37.64
198,Rose,2,350,32.82
199,Rose,1,450,16.58
200,Orchid,2,680,30.19
201,Lotus,1,600,47.98
202,Tulip,2,510,16.15
203,Tulip,2,20,47.53
204,Lavender,1,610,37.28
205,Rose,2,410,38.18
206,Lavender,2,480,47.91
207,Lotus,2,330,25.16
208,Orchid,1,390,24.97
209,Orchid,2,520,12.49
210,Lotus,2,670,23.94
211,Lavender,2,460,30.60
212,Rose,2,900,31.06
213,Orchid,2,790,40.15
214,Rose,1,350,10.87
215,Rose,1,900,26.66
216,Lotus,2,620,10.08
217,Orchid,1,210,13.58
218,Rose,1,800,43.10
219,Lavender,1,220,14.06
220,Tulip,2,690,26.17
221,Lotus,1,340,15.12
222,Orchid,2,650,10.73
223,Rose,2,240,37.43
224,Lavender,2,130,30.89
225,Lavender,2,360,12.85
226,Orchid,2,220,35.22
227,Orchid,2,840,13.64
228,Lotus,2,110,37.32
229,Orchid,2,380,42.78
230,Lavender,1,650,21.52
231,Orchid,2,900,34.21
232,Tulip,2,660,11.91
233,Lotus,1,710,41.24
234,Rose,1,470,47.15
235,Tulip,2,230,23.76
236,Lavender,2,830,28.64
237,Lotus,2,220,32.53
238,Lotus,1,310,35.13
239,Lavender,1,220,11.18
240,Rose,2,220,41.66
241,Tulip,2,220,35.58
242,Lotus,2,590,44.05
243,Lotus,2,690,48.36
244,Lotus,2,660,36.53
245,Rose,2,550,37.19
246,Lavender,1,100,29.95
247,Lavender,1,70,36.51
248,Tulip,2,70,43.34
249,Orchid,2,90,22.10
250,Orchid,2,900,24.37
251,Tulip,2,850,28.03
252,Rose,2,840,24.91
253,Lavender,2,160,40.93
254,Orchid,1,330,13.82
255,Orchid,2,640,39.64
256,Orchid,2,510,11.69
257,Lavender,2,300,19.46
258,Orchid,2,780,20.73
259,Tulip,2,790,45.46
260,Lavender,1,550,21.19
261,Lavender,1,160,12.08
262,Rose,1,930,15.44
263,Tulip,1,20,14.65
264,Tulip,2,830,49.39
265,Tulip,1,490,34.77
266,Lotus,1,140,41.32
267,Lavender,1,130,15.61
268,Lavender,2,890,27.34
269,Lavender,1,510,13.42
270,Lavender,1,160,29.85
271,Lotus,2,190,26.20
272,Rose,1,370,11.15
273,Orchid,1,40,15.65
274,Tulip,1,50,25.00
275,Tulip,1,860,22.17
276,Lotus,1,320,40.61
277,Rose,2,80,10.70
278,Orchid,1,510,17.11
279,Tulip,2,450,11.16
280,Lavender,1,730,14.83
281,Lotus,1,30,26.91
282,Lavender,2,450,33.46
283,Lotus,2,990,26.92
284,Orchid,1,790,34.39
285,Orchid,1,170,48.44
286,Lotus,2,120,27.62
287,Orchid,2,860,42.98
288,Lotus,1,500,12.27
289,Lotus,2,210,38.83
290,Orchid,1,1000,39.64
291,Orchid,2,660,41.26
292,Lavender,2,280,16.13
293,Rose,1,180,48.51
294,Lotus,2,240,13.36
295,Lotus,1,400,18.35
296,Orchid,2,780,18.78
297,Orchid,1,20,24.33
298,Tulip,1,340,43.42
299,Lotus,1,420,44.32
300,Rose,1,500,26.02
301,Tulip,2,720,44.97
302,Lotus,2,840,24.75
303,Tulip,2,60,44.60
304,Tulip,1,880,12.41
305,Lotus,2,420,39.49
306,Orchid,2,620,10.11
307,Tulip,2,210,15.94
308,Tulip,2,850,21.02
309,Rose,1,690,48.14
310,Tulip,1,330,22.18
311,Lotus,2,960,28.67
312,Lavender,1,110,13.50
313,Lavender,2,880,34.20
314,Lotus,1,620,10.65
315,Orchid,2,260,41.71
316,Tulip,2,650,42.16
317,Orchid,2,630,23.80
318,Rose,1,1000,12.04
319,Tulip,2,350,10.72
320,Lavender,2,180,28.81
321,Lotus,2,70,49.61
322,Lavender,2,590,11.61
323,Lavender,2,70,23.12
324,Lotus,2,480,36.46
325,Orchid,2,830,39.58
326,Lavender,1,940,39.84
327,Tulip,2,280,38.55
328,Lavender,2,530,19.31
329,Tulip,1,230,27.29
330,Lavender,2,180,44.52
331,Lavender,1,490,42.17
332,Tulip,1,850,22.55
333,Lotus,1,150,20.29
334,Lavender,2,680,26.09
335,Tulip,1,600,20.65
336,Rose,1,490,15.31
337,Tulip,1,510,46.02
338,Orchid,2,810,13.95
339,Rose,1,460,32.37
340,Lavender,1,540,48.60
341,Lotus,1,150,18.41
342,Lotus,2,990,34.40
343,Lavender,1,30,32.95
344,Lavender,2,840,17.01
345,Lavender,1,540,15.19
346,Tulip,2,550,23.37
347,Lavender,2,230,13.17
348,Rose,2,760,19.35
349,Orchid,1,620,40.01
350,Tulip,2,80,34.94
351,Tulip,2,550,25.88
352,Tulip,1,20,39.59
353,Rose,2,300,21.94
354,Lotus,2,10,21.84
355,Tulip,1,1000,30.94
356,Rose,2,270,23.14
357,Lavender,1,810,27.55
358,Rose,2,740,10.81
359,Rose,1,940,37.68
360,Tulip,2,110,10.15
361,Rose,1,880,32.03
362,Lavender,2,550,26.34
363,Orchid,1,30,26.41
364,Orchid,1,490,24.63
365,Tulip,1,820,22.66
366,Lotus,1,50,15.68
367,Tulip,1,230,49.15
368,Tulip,2,930,38.91
369,Rose,2,60,18.94
370,Tulip,2,950,17.57
371,Orchid,2,580,14.98
372,Lavender,2,630,12.31
373,Orchid,2,530,19.21
374,Lavender,2,640,31.23
375,Lavender,2,30,44.97
376,Tulip,1,670,36.80
377,Rose,2,850,33.95
378,Lotus,2,970,13.72
379,Tulip,2,570,28.30
380,Orchid,1,230,42.66
381,Lotus,1,700,16.18
382,Orchid,2,280,37.00
383,Lavender,2,970,33.77
384,Orchid,1,380,12.84
385,Lotus,2,10,48.50
386,Lavender,2,570,24.59
387,Lotus,1,780,12.11
388,Lotus,1,20,18.43
389,Rose,1,730,24.74
390,Tulip,1,80,49.58
391,Orchid,2,470,13.38
392,Lotus,1,720,46.18
393,Lavender,1,100,20.68
394,Tulip,1,220,27.05
395,Orchid,2,30,13.46
396,Lavender,2,680,16.54
397,Lavender,1,940,27.22
398,Orchid,2,330,17.36
399,Rose,2,900,15.39
400,Rose,1,500,26.14
401,Rose,2,1000,41.17
402,Lotus,2,780,21.22
403,Rose,2,530,24.13
404,Lavender,1,660,24.45
405,Lavender,1,10,43.64
406,Lotus,2,720,34.64
407,Orchid,1,290,14.33
408,Rose,2,520,41.75
409,Lotus,1,210,39.57
410,Lavender,2,400,30.54
411,Tulip,2,390,33.80
412,Lavender,2,380,18.51
413,Tulip,2,870,25.40
414,Tulip,2,390,12.42
415,Lotus,2,930,15.08
416,Rose,1,580,23.43
417,Tulip,2,500,36.65
418,Rose,2,90,32.30
419,Rose,1,210,42.94
420,Orchid,2,70,43.74
421,Orchid,1,220,22.98
422,Tulip,2,960,20.52
423,Tulip,2,300,29.84
424,Lavender,2,370,38.21
425,Tulip,1,460,48.44
426,Lotus,1,40,49.12
427,Tulip,2,780,41.35
428,Lotus,1,940,48.30
429,Orchid,2,910,31.02
430,Orchid,2,50,18.22
431,Lavender,2,430,23.09
432,Orchid,1,540,28.33
433,Lavender,2,120,47.27
434,Lavender,2,220,32.85
435,Rose,2,790,31.18
436,Tulip,2,460,40.15
437,Orchid,1,760,28.63
438,Tulip,2,350,12.31
439,Tulip,1,580,26.32
440,Lavender,2,520,38.20
441,Lotus,1,310,28.98
442,Tulip,2,900,28.40
443,Orchid,1,850,16.26
444,Lotus,2,610,29.32
445,Rose,2,900,38.67
446,Rose,1,160,28.10
447,Rose,2,510,37.82
448,Lotus,1,750,20.72
449,Rose,1,10,16.93
450,Rose,1,760,28.39
451,Rose,1,450,28.52
452,Lavender,1,610,29.73
453,Rose,2,510,15.16
454,Lotus,1,570,28.63
455,Rose,1,340,18.03
456,Tulip,2,330,33.48
457,Lotus,2,770,16.73
458,Lotus,2,80,34.44
459,Orchid,1,710,44.74
460,Lavender,1,160,44.91
461,Rose,1,390,44.34
462,Lavender,1,680,12.47
463,Rose,1,110,29.60
464,Lavender,2,270,45.21
465,Lotus,2,60,38.38
466,Lotus,2,230,29.26
467,Rose,2,30,46.73
468,Rose,2,520,14.11
469,Orchid,1,820,15.83
470,Orchid,2,140,20.82
471,Lavender,2,370,26.36
472,Rose,1,540,18.72
473,Rose,1,440,48.75
474,Tulip,2,320,13.19
475,Lotus,1,820,18.56
476,Tulip,2,80,43.39
477,Rose,2,500,19.84
478,Lotus,2,320,19.12
479,Orchid,1,220,16.86
480,Orchid,2,430,32.55
481,Lotus,1,560,49.62
482,Tulip,1,850,23.89
483,Lavender,1,950,39.64
484,Orchid,2,340,22.29
485,Orchid,1,660,44.10
486,Orchid,1,980,15.55
487,Orchid,2,580,41.97
488,Rose,1,930,28.24
489,Lavender,1,890,13.69
490,Lotus,1,250,23.62
491,Tulip,2,580,43.65
492,Lavender,1,800,38.76
493,Tulip,2,40,35.95
494,Rose,2,730,16.53
495,Lotus,1,450,25.49
496,Tulip,2,200,17.59
497,Lotus,2,190,21.07
498,Orchid,1,660,32.72
499,Rose,1,190,17.61
500,Lotus,2,420,20.75
501,Lavender,2,410,46.15
502,Rose,2,30,23.59
503,Orchid,1,790,25.46
504,Tulip,1,400,27.90
505,Lotus,2,40,37.87
506,Rose,2,670,21.74
507,Lavender,2,690,13.52
508,Tulip,2,370,43.81
509,Lotus,2,830,19.80
510,Lavender,1,520,11.67
511,Lotus,1,100,16.31
512,Tulip,2,570,16.61
513,Orchid,1,890,39.84
514,Lavender,1,700,35.82
515,Orchid,1,440,35.55
516,Tulip,2,540,49.57
517,Lavender,1,690,45.54
518,Lotus,2,880,35.09
519,Tulip,2,320,14.62
520,Tulip,1,870,29.96
521,Orchid,2,170,12.17
522,Orchid,2,940,46.40
523,Lavender,1,860,49.67
524,Rose,1,290,23.54
525,Tulip,1,510,19.19
526,Rose,1,660,33.41
527,Lavender,1,590,33.10
528,Orchid,2,630,22.98
529,Orchid,1,920,27.56
530,Tulip,2,760,41.45
531,Rose,1,950,49.68
532,Tulip,1,420,16.21
533,Lavender,2,590,43.27
