Order ID,Client ID,Instrument,Side,Execution Status,Quantity,Price,Reason,Transaction Time
ord1,1,Tulip,2,New,930,36.89,,20260423-090129.799
ord2,2,Rose,1,New,270,38.82,,20260423-090129.800
ord3,3,Lavender,2,New,890,17.45,,20260423-090129.800
ord4,4,Orchid,1,New,790,33.77,,20260423-090129.800
ord5,5,Rose,1,New,580,42.95,,20260423-090129.800
ord6,6,Tulip,2,New,820,16.67,,20260423-090129.800
ord7,7,Tulip,1,Fill,140,16.67,,20260423-090129.800
ord6,6,Tulip,2,Pfill,140,16.67,,20260423-090129.800
ord8,8,Lavender,2,New,170,46.83,,20260423-090129.800
ord9,9,Lavender,1,Fill,240,17.45,,20260423-090129.800
ord3,3,Lavender,2,Pfill,240,17.45,,20260423-090129.800
ord10,10,Tulip,1,Fill,300,16.67,,20260423-090129.800
ord6,6,Tulip,2,Pfill,300,16.67,,20260423-090129.800
ord11,11,Rose,2,Fill,330,42.95,,20260423-090129.800
ord5,5,Rose,1,Pfill,330,42.95,,20260423-090129.800
ord12,12,Tulip,2,New,10,25.86,,20260423-090129.800
ord13,13,Orchid,2,Fill,590,33.77,,20260423-090129.800
ord4,4,Orchid,1,Pfill,590,33.77,,20260423-090129.800
ord14,14,Tulip,1,New,200,14.23,,20260423-090129.800
ord15,15,Tulip,2,New,780,16.14,,20260423-090129.800
ord16,16,Rose,1,New,740,43.65,,20260423-090129.800
ord17,17,Lotus,1,New,40,39.56,,20260423-090129.800
ord18,18,Tulip,1,Fill,660,16.14,,20260423-090129.800
ord15,15,Tulip,2,Pfill,660,16.14,,20260423-090129.800
ord19,19,Rose,2,Pfill,740,43.65,,20260423-090129.800
ord16,16,Rose,1,Fill,740,43.65,,20260423-090129.800
ord19,19,Rose,2,Fill,170,42.95,,20260423-090129.800
ord5,5,Rose,1,Pfill,170,42.95,,20260423-090129.800
ord20,20,Orchid,1,New,90,47.77,,20260423-090129.800
ord21,21,Orchid,1,New,60,35.61,,20260423-090129.800
ord22,22,Tulip,1,Pfill,120,16.14,,20260423-090129.800
ord15,15,Tulip,2,Fill,120,16.14,,20260423-090129.800
ord22,22,Tulip,1,Fill,10,16.67,,20260423-090129.800
ord6,6,Tulip,2,Pfill,10,16.67,,20260423-090129.800
ord23,23,Lotus,1,New,820,44.01,,20260423-090129.800
ord24,24,Lavender,1,Fill,440,17.45,,20260423-090129.800
ord3,3,Lavender,2,Pfill,440,17.45,,20260423-090129.800
ord25,25,Lotus,2,Fill,790,44.01,,20260423-090129.800
ord23,23,Lotus,1,Pfill,790,44.01,,20260423-090129.800
ord26,26,Rose,1,New,500,32.21,,20260423-090129.801
ord27,27,Tulip,1,Pfill,370,16.67,,20260423-090129.801
ord6,6,Tulip,2,Fill,370,16.67,,20260423-090129.801
ord27,27,Tulip,1,Pfill,10,25.86,,20260423-090129.801
ord12,12,Tulip,2,Fill,10,25.86,,20260423-090129.801
ord27,27,Tulip,1,Fill,280,36.89,,20260423-090129.801
ord1,1,Tulip,2,Pfill,280,36.89,,20260423-090129.801
ord28,28,Lotus,1,New,760,15.93,,20260423-090129.801
ord29,29,Lavender,1,Pfill,210,17.45,,20260423-090129.801
ord3,3,Lavender,2,Fill,210,17.45,,20260423-090129.801
ord30,30,Lotus,2,New,730,45.84,,20260423-090129.801
ord31,31,Orchid,1,New,970,48.24,,20260423-090129.801
ord32,32,Orchid,2,Fill,190,48.24,,20260423-090129.801
ord31,31,Orchid,1,Pfill,190,48.24,,20260423-090129.801
ord33,33,Tulip,1,New,1000,25.04,,20260423-090129.801
ord34,34,Rose,2,Pfill,80,42.95,,20260423-090129.801
ord5,5,Rose,1,Fill,80,42.95,,20260423-090129.801
ord34,34,Rose,2,Pfill,270,38.82,,20260423-090129.801
ord2,2,Rose,1,Fill,270,38.82,,20260423-090129.801
ord34,34,Rose,2,Pfill,500,32.21,,20260423-090129.801
ord26,26,Rose,1,Fill,500,32.21,,20260423-090129.801
ord35,35,Orchid,2,Fill,170,48.24,,20260423-090129.801
ord31,31,Orchid,1,Pfill,170,48.24,,20260423-090129.801
ord36,36,Rose,2,New,70,18.18,,20260423-090129.801
ord37,37,Rose,2,New,920,46.90,,20260423-090129.801
ord38,38,Rose,1,Pfill,70,18.18,,20260423-090129.801
ord36,36,Rose,2,Fill,70,18.18,,20260423-090129.801
ord38,38,Rose,1,Pfill,40,21.09,,20260423-090129.801
ord34,34,Rose,2,Fill,40,21.09,,20260423-090129.801
ord39,39,Tulip,2,New,840,44.92,,20260423-090129.801
ord40,40,Orchid,1,New,780,13.37,,20260423-090129.801
ord41,41,Rose,1,New,860,11.67,,20260423-090129.801
ord42,42,Lotus,1,New,10,39.24,,20260423-090129.801
ord43,43,Rose,2,Fill,590,43.83,,20260423-090129.801
ord38,38,Rose,1,Pfill,590,43.83,,20260423-090129.801
ord44,44,Lavender,1,New,470,38.46,,20260423-090129.801
ord45,45,Lavender,2,New,220,40.30,,20260423-090129.801
ord46,46,Tulip,1,New,960,12.58,,20260423-090129.801
ord47,47,Lotus,1,New,880,19.61,,20260423-090129.801
ord48,48,Rose,2,Pfill,260,43.83,,20260423-090129.801
ord38,38,Rose,1,Fill,260,43.83,,20260423-090129.801
ord49,49,Lavender,1,New,360,14.49,,20260423-090129.801
ord50,50,Orchid,1,New,510,15.81,,20260423-090129.801
ord51,51,Rose,2,New,560,28.78,,20260423-090129.801
ord52,52,Orchid,1,New,190,13.76,,20260423-090129.801
